pagename,post_id,comment_id,comment
nytimes,5281959998_10151308886239999,10151308886239999_10151308909659999,I love this guy
nytimes,5281959998_184073478804176,184073478804176_1978838305671247,Annette La Fontaine
nytimes,5281959998_1918679185016261,1918679185016261_1024925960977497,Nice n a jamais était italienne bouffonne
nytimes,5281959998_184073478804176,184073478804176_519508248384128,Michael Antosy this is what I have always admired about you you have always chased your dreams you still are and that is amazing. I hop I get to see you preform someday.
nytimes,5281959998_184073478804176,184073478804176_184096878801836,"Selfish, has the ability to help others but decides to recreate his childhood instead."
nytimes,5281959998_1921423154741864,1921423154741864_1921995074684672,Kelly Lim
nytimes,5281959998_10151317140969999,10151317140969999_180320282542146,"Now they gone and done it, Agent Orange's gonna hafta work harder to come up with more ""BIG AND BEAUTIFUL"" words. Oh the humanity!"
nytimes,5281959998_1918702555013924,1918702555013924_1919861544898025,What sort of an irresponsible skipper would turn off his transponder in a shipping lane!?
nytimes,5281959998_10151309605854999,10151309605854999_178383839394535,1 across two tim
nytimes,5281959998_1920926231458223,1920926231458223_1921469308070582,I'm afraid of the sun
nytimes,5281959998_1918679185016261,1918679185016261_1918890834995096,Barbara Daisley McLennan for another adventure? 
nytimes,5281959998_1918601078357405,1918601078357405_1918704325013747,Victoria miss it?
nytimes,5281959998_10151315045359999,10151315045359999_117970048917287,che tocco sublime...una leggenda!!!!!
nytimes,5281959998_10151317184634999,10151317184634999_10151317197769999,"Don't step down! We need a check on this idiot and if all the good people leave, he'll just put more incompetent people or people who think like him in the spot!"
nytimes,5281959998_1919439628273550,1919439628273550_1919468881603958,"Why are people so enraged at others for fleeing a country that was being bombed to pieces?! They haven't got choices. 
Why is there no compassion?"
nytimes,5281959998_184073478804176,184073478804176_1764525737179361,Jakob Olsson se när du har tid!
nytimes,5281959998_184073478804176,184073478804176_426503901079332,Rebecca.x
nytimes,5281959998_10151317140969999,10151317140969999_10151317272119999,This is not a good thing. Please block DT from being able to use this feature. Actually let's limit his to 10 characters.
nytimes,5281959998_1918960548321458,1918960548321458_1919246338292879,"I am thinking of you Luz Maria, Hortensia!"
nytimes,5281959998_10151309605854999,10151309605854999_675087516018422,2 went
nytimes,5281959998_184073478804176,184073478804176_830259893818002,Nina :)
nytimes,5281959998_10151316058364999,10151316058364999_10151316195439999,Only in the US would something this stupid happen. How embarrassing
nytimes,5281959998_10151316323564999,10151316323564999_121006068563708,I wonder if these children will learn to play together and maybe even share 
nytimes,5281959998_10151309605854999,10151309605854999_1803367139953407,47 across tattl
nytimes,5281959998_10151316323564999,10151316323564999_10151316548764999,STOP wasting time go on DREAM ACT!!!
nytimes,5281959998_10151316202984999,10151316202984999_10151316364714999,Stilleto heels anyone?
nytimes,5281959998_184073478804176,184073478804176_981548848654990,This is you Christopher Ryan
nytimes,5281959998_184073478804176,184073478804176_119458445409205,Isabelle Lerario
nytimes,5281959998_1918601078357405,1918601078357405_2032409396994404,Shaniya Stengl how crazy was the 9pm dinner in this vid lol
nytimes,5281959998_10151316126504999,10151316126504999_10151316278574999,let me get this straight... kneeling is bad because it disrespects the soldiers... Trump saying he doesn't like US soldiers who are POWs is good. riiiiiiight..... there's nothing crazy about that at all.... yikes.
nytimes,5281959998_10151316602299999,10151316602299999_1602454996483394,"What happens when your burka slips and you can't see nothin', yo? I mean there may be a sand storm and the skirts fly up like that blonde chick in 'The Seven Year Itch, right?"
nytimes,5281959998_10151310132129999,10151310132129999_1088495304620289,She's not a young Marylin Horne!
nytimes,5281959998_10151308886239999,10151308886239999_10151308927649999,No John cannon but poverty wages don't get you beat up for walking down the street with a hoodie in either! Or riding a bike down the street or buying a pack of ciggs on the corner
nytimes,5281959998_1919520494932130,1919520494932130_1919798798237633,"I Love this guy, great attitude and passion for what he does.  It's so ironic to see the comments of all of these liberals saying how he shouldn't design for the first lady because of their political BS, then you all are the neo Nazis  not Trump.  We live in a democracy and if this guy wants to design for whoever he wants to, it's his choice that's why we're in the U.S. we have freedom!!   Americans don't like your BS you're pulling because you didn't get your way, grow up!!  If you keep this up he will be re-elected in 2020!!"
nytimes,5281959998_10151317245534999,10151317245534999_10151317319014999,Bubba and his other voters are still waiting for him to make them rich. What's wrong with him?
nytimes,5281959998_10151309605854999,10151309605854999_725432331000681,TRIS SPEAKER
nytimes,5281959998_184073478804176,184073478804176_1721695718139709,Gorge Ledeer told you about this guy
nytimes,5281959998_10151316602299999,10151316602299999_10151316670399999,Way hey Louise Fox! Knew it wouldn't take you long to sort those lads out! Xxxx
nytimes,5281959998_10151316168154999,10151316168154999_10151319245994999,"And not just the coasts: the rivers which flow from the Ligurian entroterra down to the Mediterranean are wonderful. The Ligurian Alps are lovely and peaceful. My ?? is in Glori, a tiny borgo upriver from unprepossessing Arma di Taggia, from which the mountains and the sea are both easily reachable, depending on the weather."
nytimes,5281959998_1919520494932130,1919520494932130_1919971924886987,No thank you.
nytimes,5281959998_184073478804176,184073478804176_119466812075035,Patrick N Wiseman
nytimes,5281959998_10151316323564999,10151316323564999_117968285540973,"When Republicans give up on the repeal bill, they are giving up an opportunity to introduce a universally better healthcare system. They have failed again to erase a legacy from Barack Obama. It evidently showed that they don't care about the wellbeing of the American people, they are only interested in corporate profits."
nytimes,5281959998_1918679185016261,1918679185016261_1720562294644429,Adrienn Szász-Veress :) ;)
nytimes,5281959998_184073478804176,184073478804176_118638102141026,Chanel Aguilar
nytimes,5281959998_184073478804176,184073478804176_1515301915215708,This could be you someday Michael
