name	city	state	stars	review_count	main_category
Southern California Medical Group	Los Angeles	CA	3.5	2	Medical Centers
Harvard Square Shiatsu	Cambridge	MA	4.0	4	Massage
Faith & Glory Collective	Kitchener	ON	4.0	2	Tattoo
Von's Records & Posters	West Lafayette	IN	3.5	3	Music & DVDs
JP's Java	Austin	TX	3.5	85	Food
Cooper Brown Real Estate	Atlanta	GA	3.5	4	Property Management
Winberie's Restaurant & Bar	Princeton	NJ	3.5	77	Pubs
Joe's Tavern	Cohoes	NY	4.0	2	Pizza
Starbucks	Philadelphia	PA	3.0	4	Food
Vitamin Shoppe	Houston	TX	5.0	2	Food
Parties Over Boston	Boston	MA	5.0	2	Event Planning & Services
Nierman Preschool	La Jolla	CA	4.0	2	Elementary Schools
Pasadena Towers Parking	Pasadena	CA	5.0	3	Car Wash
Ryan's Wake	Troy	NY	3.5	10	Bars
Rick's Steaks	Philadelphia	PA	3.5	43	Cheesesteaks
Sunset North Car Wash	San Luis Obispo	CA	2.5	3	Car Wash
Pins and Needles	Princeton	NJ	3.5	9	Arts & Crafts
Jimmy John's	Houston	TX	4.0	23	Sandwiches
South Street Smoke House	Lafayette	IN	4.0	50	Barbeque
Escape Salon	Claremont	CA	4.0	13	Hair Salons
Grappolo	San Luis Obispo	CA	3.5	8	Wine Bars
El Gallo Giro	Los Angeles	CA	4.0	3	Mexican
TJ Maxx	Pasadena	CA	4.5	10	Department Stores
Palm Theatre	San Luis Obispo	CA	4.5	81	Arts & Entertainment
The 201	Providence	RI	4.5	2	Nightlife
Springfield Beer Distributor	Philadelphia	PA	4.0	11	Food
Milano Market	New York	NY	4.0	76	Food
Ithaca College	Ithaca	NY	5.0	5	Colleges & Universities
Buy the Book	Lafayette	IN	3.0	3	Food
Enterprise Rent-A-Car	Upland	CA	1.0	7	Hotels & Travel
Urban Jewelers	Ann Arbor	MI	4.0	3	Shopping
T & K's Soul Food Kitchen	Pittsburgh	PA	4.0	6	Soul Food
Sullo & Sullo, LLP	Houston	TX	3.0	7	Professional Services
Avidity Restaurant Ultra Lounge	Lafayette	IN	3.0	6	Bars
Campus Cruiser at USC	Los Angeles	CA	4.0	7	Local Services
LA Bicycles	Los Angeles	CA	3.0	33	Sporting Goods
HuHot Mongolian Grill	Lafayette	IN	3.5	5	Mongolian
Kyrouac Jeffrey MD	Urbana	IL	5.0	3	Doctors
Puccini Hair Design	Pittsburgh	PA	4.0	11	Hair Salons
Sharon's Hair Salon	Cambridge	MA	4.0	3	NA
Srida Thai Cuisine	Upland	CA	4.0	32	Thai
Mehak Cuisine	Ithaca	NY	3.5	14	Indian
Rocky Mountain Pizza Company	Atlanta	GA	3.0	93	Nightlife
Khalil's	Pittsburgh	PA	3.5	3	Mediterranean
Papa John's Pizza	Chapel Hill	NC	3.5	3	Italian
Kendall Hotel	Cambridge	MA	4.0	37	Hotels & Travel
Svntn Below	New York	NY	3.0	4	Bars
A New Leaf	Providence	RI	4.5	3	Shopping
Parthenon Greek American Grill	West Lafayette	IN	3.5	22	Greek
Google Inc	Cambridge	MA	3.0	2	NA
Daryl Hoffman, MD	Palo Alto	CA	4.0	9	Doctors
LensCrafters	Montclair	CA	3.5	6	Shopping
Cubberley Cafe	Stanford	CA	3.5	10	Cafes
Lawrence Animal Hospital	Princeton	NJ	1.0	2	Veterinarians
The Back Abbey	Claremont	CA	4.0	756	Burgers
UCLA Ackerman Grand Ballroom	Los Angeles	CA	5.0	2	Event Planning & Services
1020 Bar	New York	NY	3.5	66	Dive Bars
Art Bar	Providence	RI	2.0	3	Nightlife
EveryWing's Good	College Park	MD	4.5	3	Chicken Wings
Cafe 3	Berkeley	CA	2.0	9	Cafes
Actors Headshots Los Angeles	Los Angeles	CA	5.0	2	Photographers
Ramada Inn-Ithaca-Airport	Ithaca	NY	2.5	10	Hotels & Travel
Atlantis	Amherst	MA	5.0	2	NA
The Bauer Bakery & Cafe	Waterloo	ON	3.5	2	Food
Gameday Sports	Champaign	IL	3.0	2	Sporting Goods
The Clothesline	Ann Arbor	MI	3.5	6	Local Services
Sweat Fitness	Philadelphia	PA	2.5	18	Active Life
Tasty Bagel Cafe	Claremont	CA	4.5	3	Food
Spa Connections	Los Angeles	CA	3.5	4	Day Spas
Death Wish Piano Movers	Cambridge	MA	4.0	5	Movers
UCLA Medical Center Cafeteria	Los Angeles	CA	3.5	12	Delis
Douglas Ng, DDS	San Luis Obispo	CA	5.0	12	Dentists
Jasmine Thai	Berkeley	CA	3.0	52	Thai
Momoca	Berkeley	CA	4.5	10	Women's Clothing
University Ave Barbershop	Seattle	WA	4.0	16	Barbers
Red Roof Inns	Hyattsville	MD	1.0	2	Hotels & Travel
Hot Dogs & Brew	Chapel Hill	NC	5.0	2	Gastropubs
Wish Salon	Providence	RI	3.5	3	Hair Salons
Alexi's Diner	Troy	NY	3.5	24	Breakfast & Brunch
Pho D'Lite	College Park	MD	4.0	10	Asian Fusion
Savvy Properties	Berkeley	CA	4.0	7	Property Management
Hyattsville Library	Hyattsville	MD	3.5	2	Libraries
Love Balls	Austin	TX	4.0	96	Food Stands
Community Food & Juice	New York	NY	3.5	346	Breakfast & Brunch
Iron Post	Urbana	IL	3.0	14	Bars
Hon Sushi	Lawrence Township	NJ	4.0	2	NA
Jj Land Co	Pittsburgh	PA	3.0	4	Home Services
Red Oak Diner & Bakery	Princeton	NJ	3.5	9	Diners
Papyrus	Houston	TX	4.5	3	Cards & Stationery
Ned's Pizza	Ithaca	NY	4.5	4	Pizza
Bunny's Tavern	Urbana	IL	4.0	13	Dive Bars
Depot Barber Shop the	Champaign	IL	4.5	2	Barbers
Princeton University Art Museum	Princeton	NJ	4.5	12	Arts & Entertainment
Econo Lodge Ithaca	Ithaca	NY	1.0	6	Hotels & Travel
Crossroads Cigars	Lafayette	IN	4.0	2	Tobacco Shops
Drinker's West	Philadelphia	PA	3.5	61	Bars
20 Toes Cat Sitting	Albany	NY	5.0	3	Pet Services
Chassom Tea Salon	Pasadena	CA	5.0	4	Food
Moses Falafel	Austin	TX	4.5	18	Food
Thomas H Lange, DDS	La Jolla	CA	4.5	6	Health and Medical
Jouni's Cafe	Upland	CA	4.5	2	Cafes
Gene Juarez Salons & Spas	Seattle	WA	4.0	29	Hair Salons
Fractured Prune	College Park	MD	4.0	5	Food
Ithaca Falls	Ithaca	NY	4.5	4	Local Flavor
Ashline Moving & Storage Co	Watervliet	NY	3.0	2	Movers
University Press Books	Berkeley	CA	4.5	16	Books, Mags, Music and Video
Staples the Office Superstore	Ithaca	NY	2.0	2	Local Services
Locust On the Park	Philadelphia	PA	1.0	2	Home Services
Beltway Plaza Hardware	Greenbelt	MD	4.5	2	Hardware Stores
Currito	Philadelphia	PA	3.0	8	Fast Food
UCSD Rimac Arena	San Diego	CA	2.5	16	Music Venues
Flipp Salon & Apothecary	Providence	RI	5.0	13	Hair Salons
Big Lots	Troy	NY	4.0	3	Department Stores
Pinkberry	New York	NY	3.5	53	Food
Crepes de Paris	Claremont	CA	4.0	6	Creperies
Precision Piercing	Atlanta	GA	5.0	3	Tattoo
Biltmore Communications	Atlanta	GA	2.5	2	NA
Spencer Gifts	Lafayette	IN	4.5	2	NA
Sei Bella Salon	Amherst	MA	5.0	4	Hair Salons
roba!dolce	Providence	RI	2.0	5	Food
ZO Skin Health Pasadena	Pasadena	CA	5.0	3	Skin Care
Dunn-Edwards Paints	Los Angeles	CA	4.0	2	NA
Sonrisa	Seattle	WA	3.0	120	Tex-Mex
Sole Restaurant & Wine Bar	Waterloo	ON	4.0	6	Bars
Mosaic at Metro	Hyattsville	MD	1.5	3	Home Services
Cafe Mattina	Berkeley	CA	4.0	163	Sandwiches
Pesaro's Pizza	Pittsburgh	PA	3.0	2	Pizza
Sand Point Internists	Seattle	WA	1.5	2	Doctors
Sunrise Diner	Lafayette	IN	3.5	21	Diners
Panzanella	Carrboro	NC	3.5	47	Breakfast & Brunch
Ron Brunick, DDS	San Luis Obispo	CA	5.0	2	Oral Surgeons
WREK Radio Station	Atlanta	GA	4.5	8	Mass Media
Lounjin	Seattle	WA	4.0	15	Coffee & Tea
MIT Museum	Cambridge	MA	4.0	67	Museums
Earl Scheib Auto Paint Body Collision	Los Angeles	CA	3.5	3	Auto Repair
Banh Mi Saigon	Hadley	MA	4.5	30	Restaurants
Penn Dental Center at University City	Philadelphia	PA	4.5	2	Dentists
OmZappy	Seattle	WA	5.0	6	Women's Clothing
The BoatYard Grill	Ithaca	NY	3.0	44	Seafood
Wingard Salon	Champaign	IL	3.5	3	Hair Salons
Mama Ganache Artisan Chocolates	San Luis Obispo	CA	4.5	16	Specialty Food
Romantix	Upland	CA	2.0	2	Flowers & Gifts
Creative Loafing	Atlanta	GA	3.0	6	Print Media
All In One Jewelry Experts	Cambridge	MA	2.0	4	Shopping
The Venue On Guadalupe	Austin	TX	3.0	6	Home Services
Yummyaki Japanese Restaurant	Waterloo	ON	4.0	6	Japanese
Berwyn Cafe	College Park	MD	4.0	22	Vegetarian
Grace Kitchen	Seattle	WA	2.5	125	American (Traditional)
California Pizza Kitchen	La Jolla	CA	3.0	152	Pizza
Petali Flowers	Cambridge	MA	4.5	13	Flowers & Gifts
